latitude,longitude,best_est
50.45,30.52333,5
50.45,30.52333,1
50.45,30.52333,26
50.45,30.52333,2
50.45,30.52333,6
50.45,30.52333,48
48,37.805278,1
48.853333,37.625,3
48.14,37.74,333
48.776492,37.778737,1
47.095833,37.549444,3
48.7067,37.6302,0
48.853333,37.626,4
48.853333,37.627,5
48.853333,37.628,2
48.853333,37.629,1
48.853333,37.630,5
48.853333,37.631,2
46.466667,30.733333,45
48.853333,37.632,10
48.716667,37.533333,1
48.817931,37.551012,0
48.92,39.02,208
48.566667,39.3,1
48.853333,37.633,10
48.566667,39.3,62
47.095833,37.549444,8
48.462882,37.349593,7
48.853333,37.634,1
47.595,37.4825,17
49.01,38.3714,1
49.0142,29.3,0
48.1111,37.4884,15
48.853333,37.635,2
48.97,39,1
47.095833,37.549444,1
48.064,37.725556,50
48.3,38.05,2
48.853333,37.636,12
47.866121,38.858509,1
48.566667,39.3,7
48.566667,39.3,6
48.853333,37.637,12
48.853333,37.638,1
48.7067,37.6302,40
48.669793,37.652631,2
47.095833,37.549444,5
48.621389,37.527778,50
47.095833,37.549444,5
48.566667,39.3,49
48.566667,39.3,10
48.985278,37.811111,13
48.853333,37.639,2
48.853333,37.640,1
48.853333,37.641,9
48.669793,37.652631,5
48.14,37.74,1
48.716667,37.533333,4
48.853333,37.642,3
48,37.805278,1
48,37.805278,1
48.14,37.74,0
48.694329,39.453292,10
48,37.805278,3
48.853333,37.643,13
48.92,39.02,0
48,37.805278,2
48.80699,38.735538,1
48.1111,37.4884,1
47.848613,39.751691,4
47.941669,37.504218,4
48.14,37.74,7
48.397804,37.843767,0
48.440496,38.815079,0
48.566667,39.3,4
47.914775,39.471546,23
48,37.805278,7
47.95,39.14,1
48.215,39.7755,1
48.587,39.184193,30
48.92,39.02,6
48.5036,39.82266,6
48.028278,38.765611,11
48.138378,38.639032,298
48,37.805278,1
48.933333,38.5,2
48,37.805278,5
48.462882,37.349593,3
48.14,37.74,4
47.922986,38.740539,3
48.3,38.05,12
48.3,38.05,3
48.6333,38.5167,200
48.127778,37.8625,4
48.3,38.05,17
48.566667,39.3,5
48.14,37.74,10
48,37.805278,2
48.566667,39.3,3
48,37.805278,1
48.046944,38.468611,14
48.566667,39.3,5
47.94542,37.617341,6
48,37.805278,2
48.6333,38.5167,2
48.566667,39.3,3
47.825,38.295,25
48.127778,37.8625,5
47.933,38.936,0
48,37.805278,2
48,37.805278,1
48,37.805278,3
48.3,38.05,18
48.028278,38.765611,1
48,37.805278,1
48.92,39.02,15
48,37.805278,1
48.14,37.74,11
48,37.805278,47
47.92,37.68,12
48,37.805278,3
48,37.805278,9
48.028278,38.765611,100
48,37.805278,11
48,37.805278,2
48.3,38.05,2
47.8787,38.06,1
48.566667,39.3,2
48,37.805278,10
48,37.805278,12
48.566667,39.3,9
48.495,39.5,24
47.924,38.194,1
48,37.805278,43
48,37.805278,26
47.925,38.195,9
47.8787,38.06,2
48.92,39.02,2
48.14,37.74,5
47.926,38.196,441
48.85,39.845,4
48,37.805278,3
47.753178,38.031628,13
47.7263,38.1084,1
48.85,39.845,4
48,37.805278,15
47.095833,37.549444,50
48,37.805278,1
48.216667,38.2,1
48,37.805278,5
47.095833,37.549444,2
47.454601,37.864028,3
47.095833,37.549444,1
48,37.805278,6
47.095833,37.549444,1
48.065,37.725556,3
48,37.805278,3
48.083333,38.066667,1
48,37.805278,2
48.113883,38.160326,10
48.15,38.65,312
48.066,37.725556,1
48,37.805278,1
48.083333,38.066667,2
48.15,38.65,2
48.14,37.74,2
48.067,37.725556,1
48.15,38.65,51
48.721895,39.25145,1
48.068,37.725556,18
48,37.805278,3
48.15,38.65,2
48.069,37.725556,1
48,37.805278,10
48.14,37.74,0
48,37.805278,1
48.92,39.02,0
48.070,37.725556,2
48.071,37.725556,8
48.072,37.725556,1
47.961389,37.646389,4
48,37.805278,2
48,37.805278,13
48.073,37.725556,8
48.633333,38.38,2
48.683333,38.516667,1
48.074,37.725556,5
48,37.805278,1
48,37.805278,9
48,37.805278,3
48.075,37.725556,3
48,37.805278,3
48.633333,38.38,1
48,37.805278,1
48.076,37.725556,2
48.333333,38.4,1
47.18,37.69,5
48.077,37.725556,3
48.15,38.65,3
48,37.805278,2
48.15,38.65,2
48,37.805278,4
48.92,39.02,2
48,37.805278,1
48.15,38.65,306
48.6789,38.9156,2
48.15,38.65,2
48,37.805278,1
48,37.805278,1
48.724788,38.63232,1
48.15,38.65,7
48.15,38.65,433
48.078,37.725556,3
48.75,38.8,3
48.079,37.725556,1
48.635588,38.643666,7
48.564161,38.644237,7
48.671413,38.763354,7
48,37.805278,1
48.15,38.65,2
48.080,37.725556,2
48.081,37.725556,3
48.082,37.725556,2
48.92,39.02,3
48.083,37.725556,1
48.694329,39.453292,4
48.15,38.65,1
48.084,37.725556,17
48,37.805278,1
48.3,38.05,20
48.15,38.65,4
48.753333,38.9725,1
48.3,38.05,5
48,37.805278,1
48.15,38.65,3
48.92,39.02,3
48.678892,39.516218,3
48.15,38.65,5
47.095833,37.549444,2
48.085,37.725556,1
48.15,38.65,4
48,37.805278,1
48.333333,38.4,1
48.566667,39.3,1
48,37.805278,3
48.3,38.05,1
48.14,37.74,3
48,37.805278,2
48.633333,38.38,2
48,37.805278,2
48.694329,39.453292,1
48.15,38.65,1
48.086,37.725556,2
48.694329,39.453292,1
48.087,37.725556,3
48,37.805278,1
48.633333,38.38,2
48.14,37.74,1
48.753333,38.9725,2
48.92,39.02,1
48.088,37.725556,1
45.093056,33.595,1
48.089,37.725556,6
48.333333,38.4,1
48,37.805278,8
48.15,38.65,117
48.15,38.65,3
48.090,37.725556,1
48.92,39.02,5
48.091,37.725556,3
